ClassID,Paths_from_root,Name,Excluded?,EDAM_synonyms,EDAM_synonyms_exact,EDAM_synonyms_broad,EDAM_synonyms_narrow,EDAM_synonyms_related,curated_synonyms_full,curated_acronyms,curated_synonyms_partial,change_log,,,,,,
http://edamontology.org/operation_____Intensity-based_registration,"Operation : Image processing : Image registration
 Operation : Alignment construction : Image registration",Intensity-based registration,,Area-based registration,,,Area-based registration,,"Area-based registration
Intensity based registration
Area based registration",,,alt spelling,,,,,,
http://edamontology.org/operation__R9EjejimBB0tmnQRmZt0RhA,"Operation : Image processing : Image registration
 Operation : Alignment construction : Image registration",Feature-based registration,,"Object registration
 Shape-based registration",,,"Object registration
 Shape-based registration",,"Object registration
 Shape-based registration
Feature based registration
Shape based registration",,,alt spelling,,,,,,
http://edamontology.org/operation__RCPVGO34XrwrJasQ5yWBg9k,"Operation : Image processing : Image registration
 Operation : Alignment construction : Image registration",Deformable registration,,Elastic registration,,,Elastic registration,,Elastic registration,,,remove elastic,,,,,,
http://edamontology.org/operation__RLtOI0poPsYRHzgXbAcr2E,"Operation : Image processing : Image registration
 Operation : Alignment construction : Image registration",Affine registration,,Affine image registration,Affine image registration,,,,Affine image registration,,,,,,,,,
http://edamontology.org/operation__R9Vc5BV3ZMcLHEL6WEceXbY,"Operation : Image processing : Image registration : Affine registration
 Operation : Alignment construction : Image registration : Affine registration",Rigid registration,,Rigid image registration,Rigid image registration,,,,Rigid image registration,,,,,,,,,
http://edamontology.org/operation_Image_segmentation,"Operation : Image processing
 Operation : Analysis : Image analysis",Image segmentation,,,,,,,,,segmentation,,,,,,,
http://edamontology.org/operation_Pixel_classification,"Operation : Image processing : Image segmentation
 Operation : Analysis : Image analysis : Image segmentation
 Operation : Classification",Pixel classification,,"Pixel labeling
 Semantic image segmentation
 Voxel classification","Pixel labeling
 Voxel classification",,Semantic image segmentation,,"Pixel labeling
 voxel labeling
 Semantic image segmentation
 Voxel classification
Pixel labelling
 voxel labelling",,,"add voxel labeling

alt spelling",,,,,,
http://edamontology.org/operation____Region_growing,"Operation : Image processing : Image segmentation
 Operation : Analysis : Image analysis : Image segmentation",Region growing,,Region-based segmentation,,Region-based segmentation,,,"Region-based segmentation
Region based segmentation",,Region growing,alt spelling,,,,,,
http://edamontology.org/operation_Watershed,"Operation : Image processing : Image segmentation : Region growing
 Operation : Analysis : Image analysis : Image segmentation : Region growing",Watershed segmentation,,"Watershed transformation
 Watershed-based segmentation",Watershed-based segmentation,Watershed transformation,,,"Watershed transformation
 Watershed-based segmentation
 Watershed based segmentation",,Watershed,alt spelling,,,,,,
http://edamontology.org/operation_____Connected-component_analysis,"Operation : Image processing : Image segmentation
 Operation : Analysis : Image analysis : Image segmentation",Connected-component analysis,,Instance segmentation,,,,,Instance segmentation,,Connected component,,,,,,,
http://edamontology.org/operation__R9Qf06vxvFj2UbAk7pW3IMG,"Operation : Image processing : Image segmentation
 Operation : Analysis : Image analysis : Image segmentation",Filament tracing,,"Biofilament tracing
 Curvilinear structure detection
 Curvilinear structure reconstruction
 Neuron reconstruction
 Tubular structure extraction",Tubular structure extraction,,Biofilament tracing,"Curvilinear structure detection
 Curvilinear structure reconstruction","Biofilament tracing
 Curvilinear structure detection
 Curvilinear structure reconstruction
 Neuron reconstruction
 Tubular structure extraction",,"Biofilament tracing
 Curvilinear structure
 Tubular structure",,,,,,,
http://edamontology.org/operation_____Superpixel_extraction,"Operation : Image processing : Image segmentation
 Operation : Analysis : Image analysis : Image segmentation",Superpixel extraction,,"Super-pixel extraction
 Super-voxel extraction
 Supervoxel extraction","Super-pixel extraction
 Super-voxel extraction
 Supervoxel extraction",,,,"Super-pixel extraction
 Super-voxel extraction
 Supervoxel extraction
Super pixel extraction
 Super voxel extraction
 Supervoxel extraction",,"Super-pixel
 Super-voxel
 Superpixel
 Supervoxel
Super pixel
 Super voxel",alt spelling,,,,"Super-pixel extraction
 Super-voxel extraction
 Supervoxel extraction",,"Super-pixel
 Super-voxel
 Superpixel
 Supervoxel"
http://edamontology.org/operation______Semi-automatic_segmentation,"Operation : Image processing : Image segmentation
 Operation : Analysis : Image analysis : Image segmentation",Semi-automatic segmentation,,,,,,,Semiautomatic segmentation,,,alt spelling,,,,,,
http://edamontology.org/operation______Manual_segmentation,"Operation : Image processing : Image segmentation
 Operation : Analysis : Image analysis : Image segmentation
 Operation : Annotation : Image annotation : Dense image annotation",Manual segmentation,,,,,,,,,,,,,,,,
http://edamontology.org/operation_Cell_segmentation,"Operation : Image processing : Image segmentation
 Operation : Analysis : Image analysis : Image segmentation",Cell segmentation,,,,,,,,,,,,,,,,
http://edamontology.org/operation____Model-based_segmentation,"Operation : Image processing : Image segmentation
 Operation : Analysis : Image analysis : Image segmentation",Model-based segmentation,,,,,,,Model based segmentation,,Model based,alt spelling,,,,,,
http://edamontology.org/operation_Active_contours,"Operation : Image processing : Image segmentation : Model-based segmentation
 Operation : Analysis : Image analysis : Image segmentation : Model-based segmentation",Active contours,,"Active contour model
 Active contour models
 Snakes","Active contour model
 Active contour models",,Snakes,,"Active contour model
 Active contour models
 Snakes",,"contour
 contour model",,,,,,,
http://edamontology.org/operation_Image_thresholding,"Operation : Image processing : Image segmentation
 Operation : Analysis : Image analysis : Image segmentation",Image thresholding,,"Clustering-based image thresholding
 Thresholding",Thresholding,,Clustering-based image thresholding,,"Clustering-based image thresholding
 Thresholding
Clustering based image thresholding",,,alt spelling,,,,,,
http://edamontology.org/operation_Adaptative_thresholding,"Operation : Image processing : Image segmentation : Image thresholding
 Operation : Analysis : Image analysis : Image segmentation : Image thresholding",Adaptive thresholding,,"Adaptative thresholding
 Dynamic thresholding
 Local thresholding","Adaptative thresholding
 Dynamic thresholding
 Local thresholding",,,,"Adaptative thresholding
 Dynamic thresholding
 Local thresholding",,,,,,,,,
http://edamontology.org/operation_____Overlap_analysis,"Operation : Image processing : Image segmentation
 Operation : Analysis : Image analysis : Image segmentation
 Operation : Analysis : Image analysis : Object feature extraction",Overlap analysis,,"Intersection analysis
 Jaccard index
 Overlap quantification
 Sørensen-Dice coefficient","Intersection analysis
 Overlap quantification",,,,"Intersection analysis
 Jaccard index
 Overlap quantification
 Sørensen-Dice coefficient",,"Jaccard
 Overlap
 Sørensen-Dice",check,,,,,,
http://edamontology.org/operation_Geometrical_transform,Operation : Image processing,Geometrical transformation,,,,,,,,,,,,,,,,
http://edamontology.org/operation_Warping,Operation : Image processing : Geometrical transformation,Warping,,,,,,,,,,,,,,,,
http://edamontology.org/operation__R8ANfLkuHu47r739AkhxrId,Operation : Image processing : Geometrical transformation,Affine transformation,,Orthographic projection,,,,Orthographic projection,Orthographic projection,,,,,,,,,
http://edamontology.org/operation_Linear_transformation,Operation : Image processing : Geometrical transformation : Affine transformation,Linear transformation,,Image resampling,,,Image resampling,,Image resampling,,resampling,,,,,,,
http://edamontology.org/operation_Image_reconstruction,"Operation : Image processing
 Operation : Data generation : Image generation",Image reconstruction,,Image restoration,,,Image restoration,,Image restoration,,"reconstruction
 restoration",,,,,,,
http://edamontology.org/operation__RDyyXyhf1oHK93opXhEnRND,"Operation : Image processing : Image reconstruction
 Operation : Data generation : Image generation : Image reconstruction
 Operation : Image processing : Image enhancement",Image denoising,,Noise reduction,Noise reduction,,,,Noise reduction,,denoising,,,,,,,
http://edamontology.org/operation_Image_stitching,"Operation : Image processing : Image reconstruction
 Operation : Data generation : Image generation : Image reconstruction",Image stitching,,"Mosaic
 Tile
 Tiling",,,,Mosaic,"Mosaic
 Tile
 Tiling",,stitching,,,,,,,
http://edamontology.org/operation_Image_deconvolution,"Operation : Image processing : Image reconstruction
 Operation : Data generation : Image generation : Image reconstruction",Image deconvolution,,,,,,,,,deconvolution,,,,,,,
http://edamontology.org/operation__R8EfungVXA0oQM2Ac7YY5eu,"Operation : Image processing : Image reconstruction
 Operation : Data generation : Image generation : Image reconstruction
 Operation : Analysis : Image analysis : Object detection",Single molecule localisation,,"PAINT image reconstruction
 PALM image reconstruction
 SMLM image reconstruction
 STORM image reconstruction
 Single molecule localization
 Single-molecule localisation microscopy image reconstruction
 Single-molecule localization microscopy image reconstruction",Single molecule localization,,"PAINT image reconstruction
 PALM image reconstruction
 SMLM image reconstruction
 STORM image reconstruction
 Single-molecule localisation microscopy image reconstruction
 Single-molecule localization microscopy image reconstruction",,"PAINT image reconstruction
 PALM image reconstruction
 SMLM image reconstruction
 STORM image reconstruction
 Single molecule localization
Single-molecule localisation
Single-molecule localization
","PAINT
 PALM
 SMLM
 STORM",Single molecule,"add PAINT, remove PAINT image, remove single-molecule localization microscopy image reconstruction

alt spelling",,,,,,
http://edamontology.org/operation__R1NVO6hpWWcs99UiEFiOfK,"Operation : Image processing : Image reconstruction
 Operation : Data generation : Image generation : Image reconstruction",Tomographic reconstruction,,"Filtered back projection
 Tomography reconstruction",Tomography reconstruction,,Filtered back projection,,"Filtered back projection
 Tomography reconstruction",,"Tomographic
 Tomography",,,,,,,
http://edamontology.org/operation__RBPObKBKIMwjdLygBOlvojW,"Operation : Image processing : Image reconstruction
 Operation : Data generation : Image generation : Image reconstruction",Selective plane illumination microscopy reconstruction,,,,,,,,SPIM,plane illumination,add SPIM,,,,,,
http://edamontology.org/operation__R8V95OnTjs7fCvVXWjaXrh6,"Operation : Image processing : Image reconstruction
 Operation : Data generation : Image generation : Image reconstruction",Structured illumination reconstruction,,,,,,,structured illumination microscopy,SIM,Structured illumination,"add structured illumination microscopy, SIM",,,,,,
http://edamontology.org/operation___Image_convolution,Operation : Image processing,Image convolution,,Linear shift invariant image filtering,Linear shift invariant image filtering,,,,Linear shift invariant image filtering,,"Linear shift
 convolution",,,,,,,
http://edamontology.org/operation______Image-to-image_translation,Operation : Image processing,Image-to-image translation,,"Neural style transfer
 Style transfer",,,"Neural style transfer
 Style transfer",,"Neural style transfer
 Style transfer
Image to image translation",,"Image-to-image
Image to image",alt spelling,,,,,,
http://edamontology.org/operation__R7MFwdgojfmkZ07yWbdcda0,Operation : Image processing,Image correction,,"Image pre-processing
 Image preprocessing
 Instrument aberration correction",,,Instrument aberration correction,"Image pre-processing
 Image preprocessing","Image pre-processing
 Image preprocessing
 Instrument aberration correction",,"aberration correction
 correction",,,,,,,
http://edamontology.org/operation__RBh3vNecu5XlIPh3kbMM4Cq,Operation : Image processing : Image correction,Drift correction,,,,,,,,,Drift,,,,,,,
http://edamontology.org/operation__R3BGvVm77d5vFMF6f28ZiW,Operation : Image processing : Image correction,Geometric distortion correction,,Lens distortion correction,,,Lens distortion correction,,Lens distortion correction,,"Geometric distortion
 Lens distortion",,,,,,,
http://edamontology.org/operation__RCi5QWhY2hXnO46smg6bHRQ,Operation : Image processing : Image correction,Detector gain correction,,,,,,,,,Detector gain,,,,,,,
http://edamontology.org/operation__RDr8xcZEa4L3mZsslmhhee8,Operation : Image processing : Image correction,Chromatic aberration correction,,Channel shift correction,,,,Channel shift correction,Channel shift correction,,"Channel shift
 Chromatic aberration",,,,,,,
http://edamontology.org/operation_Illumination_correction,Operation : Image processing : Image correction,Illumination correction,,"Background subtraction
 Flat field correction",Flat field correction,,,,"Background subtraction
 Flat field correction
Flat-field correction",,field correction,alt spelling,,,,,,
http://edamontology.org/operation__RDlueIjODveP3FyOknVAqo5,Operation : Image processing : Image correction,Detector bias correction,,Camera bias correction,,,Camera bias correction,,Camera bias correction,,"Camera bias
 Detector bias",,,,,,,
http://edamontology.org/operation__R7qn3VpJyCAPGqdW6ia3h2d,Operation : Image processing : Image correction,Spectral unmixing,,Color deconvolution,,,,Color deconvolution,Color deconvolution,,,,,,,,,
http://edamontology.org/operation_Image_enhancement,Operation : Image processing,Image enhancement,,Image restoration,,,Image restoration,,Image restoration,,enhancement,,,,,,,
http://edamontology.org/operation_Edge_detection,Operation : Image processing : Image enhancement,Feature enhancement,,"Edge enhancement
 Matching filter
 Steerable filter",,,Edge enhancement,,"Edge enhancement
 Matching filter
 Steerable filter",,,,,,,,,
http://edamontology.org/operation____Contrast_enhancement,Operation : Image processing : Image enhancement,Contrast enhancement,,,,,,,,,,,,,,,,
http://edamontology.org/operation_Image_smoothing,Operation : Image processing : Image enhancement,Smoothing,,"Blurring
 Gaussian blurring
 Gaussian filtering
 Gaussian smoothing",,,"Gaussian blurring
 Gaussian filtering
 Gaussian smoothing",Blurring,"Blurring
 Gaussian blurring
 Gaussian filtering
 Gaussian smoothing",,"Blurring
 Gaussian",,,,,,,
http://edamontology.org/operation_Morphological_operations,Operation : Image processing,Morphological operation,,"Mathematical morphology
 Morphological image processing",Morphological image processing,,,,"Mathematical morphology
 Morphological image processing",,,,,,,,,
http://edamontology.org/operation_Opening,Operation : Image processing : Morphological operation,Opening,,,,,,,,,,,,,,,,
http://edamontology.org/operation____Top-hat_transform,Operation : Image processing : Morphological operation,Top-hat transform,,"Black top-hat transform
 Bottom-hat transform
 Hat transform
 White top-hat transform",White top-hat transform,Hat transform,,"Black top-hat transform
 Bottom-hat transform","Black top-hat transform
 Bottom-hat transform
 Hat transform
 White top-hat transform
Black top hat transform
 Bottom hat transform
 White top hat transform
Top hat transform",,"Top-hat
Top hat",alt spelling,,,,,,
http://edamontology.org/operation_Dilation,Operation : Image processing : Morphological operation,Dilation,,Dilatation,Dilatation,,,,Dilatation,,,,,,,,,
http://edamontology.org/operation_Distance_transform,Operation : Image processing : Morphological operation,Distance transform,,,,,,,distance map,,,add distance map,,,,,,
http://edamontology.org/operation_Erosion,Operation : Image processing : Morphological operation,Erosion,,,,,,,,,,,,,,,,
http://edamontology.org/operation_Skeletonization,Operation : Image processing : Morphological operation,Skeletonisation,,Medial axis transform,,,Medial axis transform,,"Medial axis transform
 skeletonization",,,add skeletonization,,,,,,
http://edamontology.org/operation_Closing,Operation : Image processing : Morphological operation,Closing,,,,,,,,,,,,,,,,
http://edamontology.org/operation_____Image_fusion,Operation : Image processing,Image fusion,,,,,,,,,,,,,,,,
http://edamontology.org/operation___Validation,Operation,Validation,,,,,,,,,,,,,,,,
http://edamontology.org/operation___Image_validation,Operation : Validation,Image validation,,,,,,,,,validation,,,,,,,
http://edamontology.org/operation___Clustering,Operation,Clustering,,Cluster analysis,Cluster analysis,,,,Cluster analysis,,cluster,add cluster,,,,,,
http://edamontology.org/operation______Centroid-based_clustering,Operation : Clustering,Centroid-based clustering,,"Fuzzy c-means clustering
 k-means clustering",,,,,"Fuzzy c-means clustering
 k-means clustering
Centroid based clustering",,"Centroid-based
 k-means
 c-means
Centroid based ","add k-means, c-means

alt spelling",,,,,,
http://edamontology.org/operation______Density-based_clustering,Operation : Clustering,Density-based clustering,,DBSCAN (*),,,,,Density based clustering,DBSCAN,"Density-based
Density based",alt spelling,,,,,,
http://edamontology.org/operation______Connectivity-based_clustering,Operation : Clustering,Hierarchical clustering,,Connectivity-based clustering,Connectivity-based clustering,,,,"Connectivity-based clustering
Connectivity based clustering",,"Connectivity based
Connectivity-based",alt spelling,,,,,,
http://edamontology.org/operation______Distribution-based_clustering,Operation : Clustering,Distribution-based clustering,,"GMM (*)
 Gaussian mixture model",,,,,"Gaussian mixture model
Distribution based clustering",GMM,"Distribution-based
 Gaussian mixture
Distribution based",alt spelling,,,,,,
http://edamontology.org/operation_3429,Operation,Data generation,,Data synthesis,Data synthesis,,,,Data synthesis,,,,,,,,,
http://edamontology.org/operation______Data_augmentation,Operation : Data generation,Data augmentation,,,,,,,,,,,,,,,,
http://edamontology.org/operation__RDFFD5jBfUw74a3vJeBAGB1,Operation : Data generation,Image generation,,Image synthesis,Image synthesis,,,,Image synthesis,,,,,,,,,
http://edamontology.org/operation__R9FvNkpDIaqZQhLVlPsHisj,Operation : Data generation : Image generation,Synthetic image generation,,"Image simulation
 Simulated image generation","Image simulation
 Simulated image generation",,,,"Image simulation
 Simulated image generation
",,"Simulated image
 Synthetic image","remove simulation 
alt spelling
",,,,,,
http://edamontology.org/operation______Machine_learning-based_data_generation,Operation : Data generation,Machine learning-based data generation,,"GAN (*)
 Generative adversarial network",,,,,"Generative adversarial network
Machine learning based data generation",GAN,Generative adversarial network,"remove machine learning

alt spelling",,,,,,
http://edamontology.org/operation_3443,Operation : Analysis,Image analysis,,General image analysis,,,General image analysis,,General image analysis,,,,,,,,,
http://edamontology.org/operation_Optical_flow_analysis,Operation : Analysis : Image analysis,Optical flow analysis,,,,,,,,,Optical flow,,,,,,,
http://edamontology.org/operation__RBNng13hEB0CJD5VzSKqrfB,Operation : Analysis : Image analysis,Object detection,,"Isolated object detection
 Object localisation
 Object localization
 Particle detection",,,"Isolated object detection
 Object localisation
 Object localization
 Particle detection",,"Isolated object detection
 Object localisation
 Object localization
 Particle detection",,,,,,,,,
http://edamontology.org/operation___Colocalisation_analysis,Operation : Analysis : Image analysis,Colocalisation analysis,,"Co-localisation analysis
 Co-localization analysis
 Colocalization analysis","Co-localisation analysis
 Co-localization analysis
 Colocalization analysis",,,,"Co-localisation analysis
 Co-localization analysis
 Colocalization analysis",,"Co-localisation
 Co-localization
 Colocalisation
 Colocalization",,,,,,,
http://edamontology.org/operation_Image_colocalization,Operation : Analysis : Image analysis : Colocalisation analysis,Object-based colocalisation analysis,,"Object-based co-localisation analysis
 Object-based colocalization analysis","Object-based co-localisation analysis
 Object-based colocalization analysis",,,,"Object-based co-localisation analysis
 Object-based colocalization analysis
Object based co-localisation analysis
 Object based colocalization analysis",,"Object-based colocalisation
 object-based colocalization","add object-based colocalization

alt spelling",,,,,,
http://edamontology.org/operation___Pixel-based_colocalisation,Operation : Analysis : Image analysis : Colocalisation analysis,Pixel-based colocalisation analysis,,"Manders coefficient
 Pixel-based co-localisation analysis
 Pixel-based colocalization analysis
 Voxel-based colocalisation analysis","Pixel-based co-localisation analysis
 Pixel-based colocalization analysis
 Voxel-based colocalisation analysis",,,,"Manders coefficient
 Pixel-based co-localisation analysis
 Pixel-based colocalization analysis
 Voxel-based colocalisation analysis
Pixel based co-localisation analysis
 Pixel based colocalization analysis
 Voxel based colocalisation analysis
Pixel based colocalisation analysis",,"Manders
 Pixel-based colocalisation
 Pearson correlation coefficient","add Pearson correlation coefficient

alt spelling",,,,,,
http://edamontology.org/operation_Image_classification,"Operation : Analysis : Image analysis
 Operation : Classification",Image classification,,Image clustering,,,,,Image clustering,,classification,,,,,,,
http://edamontology.org/operation_Image_tracking,Operation : Analysis : Image analysis,Object tracking,,"Tracking
 Trajectory extraction",Tracking,,Trajectory extraction,,"Tracking
 Trajectory extraction",,,,,,,,,
http://edamontology.org/operation___Trajectory_analysis,Operation : Analysis : Image analysis : Object tracking,Trajectory analysis,,"Displacement analysis
 Motility analysis",,,,"Displacement analysis
 Motility analysis","Displacement analysis
 Motility analysis",,"Displacement
 Motility
 Trajectory",,,,,,,
http://edamontology.org/operation__RDsrmC9l0bZw9kGJzGMCyY8,Operation : Analysis : Image analysis : Object tracking,Isolated object tracking,,,,,,,Isolated-object tracking,,,"remove isolated object 

alt spelling",,,,,,
http://edamontology.org/operation_Particle_tracking,Operation : Analysis : Image analysis : Object tracking : Isolated object tracking,Particle tracking,,,,,,,,,,remove particle,,,,,,
http://edamontology.org/operation_Cell_tracking,Operation : Analysis : Image analysis : Object tracking : Isolated object tracking,Cell tracking,,,,,,,,,,,,,,,,
http://edamontology.org/operation_____Cell_lineage_extraction,Operation : Analysis : Image analysis : Object tracking,Cell lineage extraction,,,,,,,Cell-lineage extraction,,Cell lineage,alt spelling,,,,,,
http://edamontology.org/operation__RBUpi1JSczmHQSf8Q8fDzG5,Operation : Analysis : Image analysis : Object tracking,Collective object tracking,,"Scratch assay
 Scratch assay analysis
 Wound healing analysis
 Wound-healing assay",,,,"Scratch assay
 Scratch assay analysis
 Wound healing analysis
 Wound-healing assay","Scratch assay
 Scratch assay analysis
 Wound healing analysis
 Wound-healing assay
Scratch-assay analysis
 Wound-healing analysis
 Wound healing assay",,Collective object,alt spelling,,,,,,
http://edamontology.org/operation___Wound-healing_analysis,Operation : Analysis : Image analysis : Object tracking,Wound-healing analysis,,"Scratch assay
 Wound-healing assay",,,,,"Scratch assay
 Wound-healing assay
Wound healing analysis
 Wound healing assay",,"Scratch
Wound healing
Wound-healing",alt spelling,,,,,,
http://edamontology.org/operation__RyCFuPLOeGxpcGjYbWcWWD,"Operation : Analysis : Image analysis
 Operation : Classification",Object classification,,"Isolated object classification
 Semantic object classification","Isolated object classification
 Semantic object classification",,,,"Isolated object classification
 Semantic object classification",,,"remove isolated object, semantic object",,,,,,
http://edamontology.org/operation_Object_detection,Operation : Analysis : Image analysis,Image feature detection,,Image feature extraction,Image feature extraction,,,,Image feature extraction,,"feature detection
 feature extraction",,,,,,,
http://edamontology.org/operation____Edge_detection,Operation : Analysis : Image analysis : Image feature detection,Edge detection,,,,,,,,,,remove feature enhancement,,,,,,
http://edamontology.org/operation_Spot_extraction,Operation : Analysis : Image analysis : Image feature detection,Spot detection,,Seed point detection,,,Seed point detection,,"Seed point detection
 point detection
 blob detection",,Seed point,"add point detection, blob detection",,,,,,
http://edamontology.org/operation_____Ridge_detection,Operation : Analysis : Image analysis : Image feature detection,Ridge detection,,,,,,,,,,,,,,,,
http://edamontology.org/operation_Feature_extraction,Operation : Analysis : Image analysis,Object feature extraction,,"Feature detection
 Image labeling
 SIFT (*)
 SURF (*)
 scale-invariant feature transform","Feature detection
 Image labeling",,"SIFT (*)
 SURF (*)
 scale-invariant feature transform",,"Feature detection
 Image labeling
 scale-invariant feature transform
Image labelling
","SIFT
 SURF","Object feature
 scale-invariant feature",alt spelling,,,,,,
http://edamontology.org/operation_____Velocity_extraction,Operation : Analysis : Image analysis : Object feature extraction,Velocity extraction,,,,,,,,,Velocity,,,,,,,
http://edamontology.org/operation_Homogeneity,Operation : Analysis : Image analysis : Object feature extraction,Homogeneity extraction,,,,,,,,,Homogeneity,,,,,,,
http://edamontology.org/topic______Stereology,Operation : Analysis : Image analysis : Object feature extraction,Stereology,,,,,,,,,,,,,,,,
http://edamontology.org/operation_Shape_features,Operation : Analysis : Image analysis : Object feature extraction,Shape features extraction,,"Area
 Shape feature extraction",Shape feature extraction,,,Area,Shape feature extraction,,Shape features,remove area,,,,,,
http://edamontology.org/operation_Texture_extraction,Operation : Analysis : Image analysis : Object feature extraction,Texture extraction,,"Inverse Difference Moment
 Texture feature extraction",Texture feature extraction,,Inverse Difference Moment,,"Inverse Difference Moment
 Texture feature extraction
Texture-feature extraction",,"Inverse Difference Moment
 Texture
 Texture feature
Texture-feature",alt spelling,,,,,,
http://edamontology.org/operation_Cell_counting,Operation : Analysis : Image analysis,Object counting,,,,,,,,,,,,,,,,
http://edamontology.org/operation__RBYLqCqN4rP7Jy5m5mxpTeM,Operation : Analysis,Frequency-domain analysis,,"Analysis in the frequency domain
 FFT (*)
 Fast Fourier transform
 Wavelet transform",Analysis in the frequency domain,,,"Fast Fourier transform
 Wavelet transform","Analysis in the frequency domain
 Fast Fourier transform
 Wavelet transform
Frequency domain analysis",FFT,Frequency domain,alt spelling,,,,,,
http://edamontology.org/operation_2990,Operation,Classification,,,,,,,,,,,,,,,,
http://edamontology.org/operation__RDetoixS3xEu0agR2CebaoB,Operation,Pattern recognition,,,,,,,,,,,,,,,,
http://edamontology.org/operation___Optimisation_or_refinement,Operation,Optimisation or refinement,,Optimization or refinement (*),Optimization or refinement (*),,,,,,"Optimisation
 Optimization",add optimization,,,,,,
http://edamontology.org/operation___Parameter_optimisation,Operation : Optimisation or refinement,Parameter optimisation,,"Model optimisation
 Model training
 Parameter optimization",Parameter optimization,,,,"Model optimisation
Model training
Parameter optimization
Model optimization",,,,,,,,,
http://edamontology.org/operation_0337,Operation,Visualisation,,Plotting,,,Plotting,,"Plotting
Visualization",,,alt spelling,,,,,,
http://edamontology.org/operation_3441,Operation : Visualisation,Plotting,,,,,,,,,,,,,,,,
