ClassID,Paths_from_root,Name,Excluded?,EDAM_synonyms,EDAM_synonyms_exact,EDAM_synonyms_broad,EDAM_synonyms_narrow,EDAM_synonyms_related,curated_synonyms_full,curated_acronyms,curated_synonyms_partial,change_log,,,,,,
http://edamontology.org/data_0006,,Data,X,"Data record (*)
 Data set (*)
 Datum (*)",Data record (*),,"Data set (*)
 Datum (*)",,,,,,,,,,,
http://edamontology.org/data_Image,Data,Image,X,"Digital image
 Image data
 Image set
 Pixel-based image
 Raster image
 Set of images
 Voxel-based image",Image data,,"Digital image
 Image set
 Pixel-based image
 Raster image
 Set of images
 Voxel-based image",,"Digital image
 Image data
 Image set
 Pixel-based image
 Raster image
 Set of images
 Voxel-based image",,,,,,,,,
http://edamontology.org/operation_0004,,Operation,X,"Computational method (*)
 Computational operation (*)
 Computational procedure (*)
 Computational subroutine (*)
 Computational tool (*)
 Function (*)
 Function (programming) (*)
 Lambda abstraction (*)
 Mathematical function (*)
 Mathematical operation (*)
 Process (*)
 sumo:Function (*)",,Function (*),"Computational method (*)
 Computational operation (*)
 Computational procedure (*)
 Computational subroutine (*)
 Function (programming) (*)
 Lambda abstraction (*)
 Mathematical function (*)
 Mathematical operation (*)","Computational tool (*)
 Process (*)
 sumo:Function (*)",,,,,,,,,,
http://edamontology.org/operation_Image_processing,Operation,Image processing,X,"Image filtering
 Image manipulation
 Image post-processing
 Image postprocessing
 Image pre-processing
 Image preprocessing
 Image transformation",Image transformation,,"Image filtering
 Image post-processing
 Image postprocessing
 Image pre-processing
 Image preprocessing",Image manipulation,"Image filtering
 Image manipulation
 Image post-processing
 Image postprocessing
 Image pre-processing
 Image preprocessing
 Image transformation",,"filtering
 manipulation
 post-processing
 postprocessing
 pre-processing
 preprocessing
 transformation",,,,,,,
http://edamontology.org/operation_Rotation,Operation : Image processing : Geometrical transformation : Affine transformation,Rotation,X,,,,,,,,,,,,,,,
http://edamontology.org/operation_2945,Operation,Analysis,X,,,,,,,,,,,,,,,
http://edamontology.org/operation_Image_visualisation,Operation : Visualisation,Image visualisation,X,"Lookup table
 Rendering",Rendering,,Lookup table,,"Lookup table
 Rendering
Image visualization",,,alt spelling,,,,,,
http://edamontology.org/topic_0003,,Topic,X,sumo:FieldOfStudy (*),,,,sumo:FieldOfStudy (*),,,,,,,,,,
http://edamontology.org/topic_3382,Topic,Imaging,X,,,,,,,,,,,,,,,
http://edamontology.org/data_3D_dataset,Data : Image,3D image,,"Image stack
 stack",,,,Image stack,"Image stack
 stack",,"3D
3-dimensional","Added 3-dimensional
alt spelling",,,,,,
http://edamontology.org/data_2D_dataset,Data : Image,2D image,,,,,,,,,"2D
2-dimensional","remove tile, tiling
Added 2-dimensional
alt spelling",,,,,,
http://edamontology.org/data__R0uFIvsA9tQJYZz8NM3Smk,Data : Image,Multi-channel image,,,,,,,Multi channel image        ,,"Multi-channel
Multi channel",alt spelling,,,,,,
http://edamontology.org/data__RCMgLYJyn9WJyCc3bA23xT1,Data : Image,,,"Movie
 Time-lapse image
 Time-series image
 Video sequence",Time-series image,,"Movie
 Time-lapse image
 Video sequence",,"Movie
 Time-lapse image
 Time-series image
 Video sequence
Time lapse image
Time series image",,"Time-lapse
 Time-series
 Time series
 Time lapse 
",alt spelling,,,,,,
http://edamontology.org/operation__Rhb4iyLUQWY4HnhPpuqNNI,Operation : Image processing,Image crop,,,,,,,,,crop,,,,,,,
http://edamontology.org/operation_____Frequency_domain,Operation : Image processing,Frequency-domain transformation,,"FFT (*)
 Fast Fourier transform
 Transformation into frequency domain
 Wavelet transform",Transformation into frequency domain,,,"Fast Fourier transform
 Wavelet transform","Fast Fourier transform
 Transformation into frequency domain
 Wavelet transform",FFT,"Fast Fourier
 Frequency domain
 Transformation into frequency domain
 Wavelet
Frequency-domain",alt spelling,,,,,,
http://edamontology.org/operation_Image_registration,"Operation : Image processing
 Operation : Alignment construction",Image registration,,Image alignment,Image alignment,,,,Image alignment,,"alignment
 registration",,,,,,,
